Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1788260074,100,,Aggregated,0.000000,0.000000,17,28,36,47,110,57000,58000,58000,60000,60000,60000,585,50,17,4299.466738461556,1.830500001233304,60448.95629999883,353.8136752136752
1788260075,100,,Aggregated,0.000000,0.000000,17,28,36,47,110,57000,58000,58000,60000,60000,60000,585,50,17,4299.466738461556,1.830500001233304,60448.95629999883,353.8136752136752
1788260076,100,,Aggregated,0.000000,0.000000,17,28,36,47,110,57000,58000,58000,60000,60000,60000,585,50,17,4299.466738461556,1.830500001233304,60448.95629999883,353.8136752136752
1788260077,100,,Aggregated,0.000000,0.000000,17,28,36,47,110,57000,58000,58000,60000,60000,60000,585,50,17,4299.466738461556,1.830500001233304,60448.95629999883,353.8136752136752
1788260078,100,,Aggregated,0.000000,0.000000,17,28,36,47,110,57000,58000,58000,60000,60000,60000,585,50,17,4299.466738461556,1.830500001233304,60448.95629999883,353.8136752136752
1788260079,100,,Aggregated,0.000000,0.000000,17,28,36,47,110,57000,58000,58000,60000,60000,60000,585,50,17,4299.466738461556,1.830500001233304,60448.95629999883,353.8136752136752
1788260080,100,,Aggregated,0.000000,0.000000,17,28,36,47,110,57000,58000,58000,60000,60000,60000,585,50,17,4299.466738461556,1.830500001233304,60448.95629999883,353.8136752136752
1788260081,100,,Aggregated,0.000000,0.000000,17,28,36,47,110,57000,58000,58000,60000,60000,60000,585,50,17,4299.466738461556,1.830500001233304,60448.95629999883,353.8136752136752
1788260082,100,,Aggregated,0.000000,0.000000,17,28,36,47,110,57000,58000,58000,60000,60000,60000,585,50,17,4299.466738461556,1.830500001233304,60448.95629999883,353.8136752136752
1788260083,100,,Aggregated,0.000000,0.000000,17,28,36,47,110,57000,58000,58000,60000,60000,60000,585,50,17,4299.466738461556,1.830500001233304,60448.95629999883,353.8136752136752
1788260084,100,,Aggregated,0.000000,0.000000,17,28,36,47,110,57000,58000,58000,60000,60000,60000,585,50,17,4299.466738461556,1.830500001233304,60448.95629999883,353.8136752136752
1788260085,100,,Aggregated,0.000000,0.000000,17,28,36,47,110,57000,58000,58000,60000,60000,60000,585,50,17,4299.466738461556,1.830500001233304,60448.95629999883,353.8136752136752
1788260086,100,,Aggregated,0.000000,0.000000,17,28,36,47,110,57000,58000,58000,60000,60000,60000,585,50,17,4299.466738461556,1.830500001233304,60448.95629999883,353.8136752136752
1788260087,100,,Aggregated,0.000000,0.000000,17,28,36,47,110,57000,58000,58000,60000,60000,60000,585,50,17,4299.466738461556,1.830500001233304,60448.95629999883,353.8136752136752
1788260088,100,,Aggregated,0.000000,0.000000,17,28,36,47,110,57000,58000,58000,60000,60000,60000,585,50,17,4299.466738461556,1.830500001233304,60448.95629999883,353.8136752136752
1788260089,100,,Aggregated,0.000000,0.000000,18,31,39,53,30000,58000,85000,86000,86000,86000,86000,603,68,18,6712.660742288578,1.830500001233304,85843.8266000012,343.8789386401327
1788260090,100,,Aggregated,0.000000,0.000000,18,32,43,59,56000,58000,85000,86000,86000,86000,86000,613,78,18,7620.576041272477,1.830500001233304,85843.8266000012,338.61174551386625
1788260091,100,,Aggregated,0.000000,0.000000,18,32,43,59,56000,58000,85000,86000,86000,86000,86000,613,78,18,7620.576041272477,1.830500001233304,85843.8266000012,338.61174551386625
1788260092,100,,Aggregated,0.000000,0.000000,18,32,43,59,56000,58000,85000,86000,86000,86000,86000,613,78,18,7620.576041272477,1.830500001233304,85843.8266000012,338.61174551386625
1788260093,100,,Aggregated,0.000000,0.000000,18,32,43,59,56000,58000,85000,86000,86000,86000,86000,613,78,18,7620.576041272477,1.830500001233304,85843.8266000012,338.61174551386625
1788260094,100,,Aggregated,0.000000,0.000000,18,32,43,59,56000,58000,85000,86000,86000,86000,86000,613,78,18,7620.576041272477,1.830500001233304,85843.8266000012,338.61174551386625
1788260095,100,,Aggregated,0.000000,0.000000,18,32,43,59,56000,58000,85000,86000,86000,86000,86000,613,78,18,7620.576041272477,1.830500001233304,85843.8266000012,338.61174551386625
